1.000309	0.001544	0
1.00007	0.001636	0
0.999355	0.001911	0
0.998164	0.002369	0
0.996497	0.003006	0
0.994356	0.003822	0
0.991742	0.004813	0
0.988658	0.005976	0
0.985104	0.007306	0
0.981083	0.008799	0
0.976599	0.010448	0
0.971654	0.012248	0
0.966253	0.014193	0
0.960398	0.016275	0
0.954094	0.018487	0
0.947346	0.020821	0
0.940158	0.023269	0
0.932536	0.025821	0
0.924486	0.028469	0
0.916014	0.031203	0
0.907126	0.034013	0
0.89783	0.036891	0
0.888133	0.039825	0
0.878042	0.042805	0
0.867567	0.045821	0
0.856715	0.048862	0
0.845495	0.051918	0
0.833917	0.054978	0
0.821992	0.058032	0
0.809728	0.061068	0
0.797138	0.064076	0
0.784232	0.067046	0
0.771021	0.069967	0
0.757518	0.072829	0
0.743735	0.075622	0
0.729685	0.078336	0
0.715381	0.080961	0
0.700837	0.083487	0
0.686066	0.085906	0
0.671083	0.088208	0
0.655902	0.090385	0
0.640539	0.092428	0
0.625008	0.094329	0
0.609326	0.096081	0
0.59361	0.097681	0
0.577931	0.099175	0
0.562163	0.100569	0
0.546323	0.101858	0
0.530426	0.103038	0
0.51449	0.104102	0
0.49853	0.105048	0
0.482563	0.10587	0
0.466605	0.106565	0
0.450674	0.107129	0
0.434785	0.107559	0
0.418956	0.10785	0
0.403203	0.108001	0
0.387543	0.108009	0
0.371993	0.107871	0
0.356568	0.107586	0
0.341286	0.107152	0
0.326164	0.106569	0
0.311216	0.105835	0
0.296459	0.104951	0
0.28191	0.103917	0
0.267583	0.102733	0
0.253494	0.101401	0
0.239658	0.099922	0
0.226091	0.098298	0
0.212805	0.096533	0
0.199817	0.094629	0
0.187138	0.092589	0
0.174784	0.090418	0
0.162767	0.08812	0
0.151099	0.0857	0
0.139793	0.083163	0
0.12886	0.080514	0
0.118311	0.077759	0
0.108158	0.074904	0
0.098411	0.071957	0
0.089078	0.068922	0
0.080171	0.065807	0
0.071696	0.062619	0
0.063663	0.059365	0
0.056079	0.056051	0
0.048951	0.052685	0
0.042286	0.049273	0
0.036089	0.045822	0
0.030367	0.042339	0
0.025125	0.03883	0
0.020366	0.035301	0
0.016094	0.031759	0
0.012314	0.028207	0
0.009028	0.024653	0
0.006239	0.021099	0
0.003948	0.017551	0
0.002156	0.014011	0
0.000866	0.010484	0
0.000076	0.006972	0
-0.000212	0.003477	0
0	0	0
0.000706	-0.003411	0
0.001897	-0.006709	0
0.003573	-0.009894	0
0.005729	-0.012963	0
0.008364	-0.015918	0
0.011474	-0.018755	0
0.015055	-0.021474	0
0.019103	-0.024073	0
0.023612	-0.026552	0
0.028578	-0.028909	0
0.033995	-0.031142	0
0.039856	-0.03325	0
0.046156	-0.035232	0
0.052887	-0.037086	0
0.060042	-0.038812	0
0.067614	-0.040408	0
0.075595	-0.041874	0
0.083976	-0.043209	0
0.092749	-0.044412	0
0.101905	-0.045484	0
0.111434	-0.046424	0
0.121329	-0.047232	0
0.131578	-0.04791	0
0.142172	-0.048457	0
0.153101	-0.048876	0
0.164354	-0.049168	0
0.175921	-0.049335	0
0.187792	-0.049378	0
0.199954	-0.049301	0
0.212398	-0.049107	0
0.225111	-0.048798	0
0.238083	-0.048378	0
0.2513	-0.047852	0
0.264752	-0.047222	0
0.278427	-0.046494	0
0.292311	-0.045672	0
0.306393	-0.044761	0
0.32066	-0.043767	0
0.335098	-0.042693	0
0.349697	-0.041547	0
0.364441	-0.040332	0
0.379318	-0.039056	0
0.394314	-0.037722	0
0.409416	-0.036338	0
0.42461	-0.034908	0
0.439882	-0.033439	0
0.455218	-0.031935	0
0.470604	-0.030402	0
0.486027	-0.028845	0
0.50147	-0.02727	0
0.516921	-0.025681	0
0.532364	-0.024083	0
0.547786	-0.022481	0
0.56317	-0.020879	0
0.578504	-0.019281	0
0.593772	-0.01769	0
0.608817	-0.016122	0
0.623682	-0.014626	0
0.638453	-0.013208	0
0.653115	-0.011871	0
0.667655	-0.010614	0
0.682059	-0.009439	0
0.696311	-0.008346	0
0.710398	-0.007333	0
0.724305	-0.0064	0
0.738018	-0.005545	0
0.751523	-0.004767	0
0.764806	-0.004064	0
0.777852	-0.003434	0
0.790647	-0.002873	0
0.803179	-0.002379	0
0.815432	-0.001949	0
0.827395	-0.001579	0
0.839052	-0.001266	0
0.850392	-0.001007	0
0.861402	-0.000797	0
0.872069	-0.000633	0
0.88238	-0.00051	0
0.892325	-0.000426	0
0.901891	-0.000376	0
0.911067	-0.000356	0
0.919842	-0.000363	0
0.928206	-0.000393	0
0.936149	-0.000442	0
0.943661	-0.000507	0
0.950733	-0.000585	0
0.957357	-0.000672	0
0.963524	-0.000765	0
0.969226	-0.000861	0
0.974457	-0.000959	0
0.97921	-0.001054	0
0.98348	-0.001146	0
0.987259	-0.001232	0
0.990545	-0.00131	0
0.993332	-0.001379	0
0.995617	-0.001437	0
0.997398	-0.001483	0
0.998671	-0.001517	0
0.999436	-0.001538	0
0.999691	-0.001544	0
1.000309	0.001544	0
